type	column	total	realized	potential
LOW	148	15311	1623	2389
LOW	149	15311	1441	2524
LOW	150	15311	1391	2497
LOW	151	15311	1934	1553
LOW	152	15311	1395	2752
LOW	153	15311	1368	2631
LOW	154	15311	1400	2541
LOW	155	15311	1526	2504
LOW	156	15311	1441	2570
LOW	157	15311	1477	2513
LOW	158	15311	1541	2304
LOW	159	15311	1934	1686
LOW	160	15311	1384	2640
LOW	161	15308	1380	2670
LOW	162	15311	1737	1417
LOW	163	15311	1404	2640
LOW	164	15311	1741	2121
LOW	165	15311	1664	1906
LOW	166	15311	1444	2598
LOW	167	15311	1336	2746
LOW	168	15311	1501	2363
LOW	169	15311	1692	2143
LOW	170	15311	1395	2602
LOW	171	15311	1852	1819
LOW	172	15311	1471	2375
LOW	173	15311	1531	2348
LOW	174	15311	1838	1841
LOW	175	15311	1655	2112
LOW	176	15311	2043	1435
LOW	177	15311	1682	2117
LOW	178	15311	1636	2105
LOW	179	15311	1525	2373
LOW	180	15311	1558	2347
LOW	181	15311	1863	1661
LOW	182	15311	1477	2368
LOW	183	15311	1504	2509
LOW	184	15311	1381	2427
LOW	185	15311	1439	2534
LOW	186	15311	1436	2355
LOW	187	15311	1846	1729
LOW	188	15311	1600	2285
LOW	189	15311	1729	1821
LOW	190	15311	1760	2051
LOW	191	15311	1616	2312
LOW	192	15311	1413	2748
LOW	193	15311	1795	2111
LOW	194	15311	1515	2498
LOW	195	15311	1471	2590
LOW	196	15311	1620	2238
LOW	197	15311	1689	2002
LOW	198	15311	1524	2331
LOW	199	15311	1487	2626
LOW	200	15311	1864	1844
LOW	201	15311	1499	2265
LOW	202	15311	1681	2055
LOW	203	15311	1369	2544
LOW	204	15311	2019	1658
LOW	205	15311	1798	1844
LOW	206	15311	1343	2536
LOW	207	15311	1504	2432
LOW	208	15311	1416	2577
LOW	209	15311	1653	2161
LOW	210	15311	1540	2396
LOW	211	15310	1772	1978
LOW	212	15311	1567	2298
LOW	213	15311	1516	2389
LOW	214	15311	1395	2577
LOW	215	15311	1541	2495
LOW	216	15311	1664	2232
LOW	217	15311	1797	1937
LOW	218	15311	1629	2169
LOW	219	15311	1338	2573
LOW	220	15311	1644	2038
LOW	221	15311	1882	1674
LOW	222	15311	1912	1594
LOW	223	15311	1428	2553
LOW	224	15311	1602	2277
LOW	225	15311	1980	1589
LOW	226	15311	1553	2311
